Name, Latitude, Longitude, Image
"Marienkapelle",51.81997,9.408605,"http://lh3.googleusercontent.com/tK_K0J2c5t6JUBzI8flErwu--dcADQSzTKsrcoQK6ZgSfe9RljvHlDLNxsKwGJyl2sxuZKXJ6dS54qC7StAedTbiHOg"
"Informationen zur Saumer",51.815608,9.407903,"http://lh3.googleusercontent.com/lbqDD9nZr9wy14JONF220-G7g_ogZSnkPmBnYm_A2so4PA5jo1Q2D9BvKe-VlEeAsV7cinH0zmeaTO483SivQHLDFmM"
"Sandsteinkreuz  1902-1987",51.815467,9.407582,"http://lh3.googleusercontent.com/4-L-PnK0tskf5X2yCTwlHBnezRT8YtoFJPGPPN5qgKtpfGROb0vf96zjXpPZiAqQV1pKGLHSepSiY02ydHD8TFhzSepW"
"Schützenbruderschaft Albaxen e.V.",51.820268,9.406407,"http://lh3.googleusercontent.com/CABm2LluCoHFDbKr8Ht7M6yStWl_TmWFmVXLqJH2RxQgoj5rjShs0dnnS6UrMTRv7aw71Mczs22WWlF4xO1WqerN4oGE"
"Spielplatz Wehrstraße Albaxen",51.820146,9.407267,"http://lh3.googleusercontent.com/vFASvKYX_pKgyC0yFxsyRmoB6VyEGBeQFc-UimsnfYWMN_u84vGh2hFSJgUEtPG1H5PtT6u17TBehcVTm8dHVM3UVmg"
"Spielplatz zum Wesertal Albaxen ",51.821214,9.405242,"http://lh3.googleusercontent.com/bichkkVu_HTA4riWNFuHTuIm4spyPUN5CjG-kHtpy3fQbWGXW7q4Skrk6gsn0BhlWq66_6rMLbPmkq7egmljCizmJY4"
"Spruchtafel Albaxen",51.821669,9.406644,"http://lh3.googleusercontent.com/iXEU-22UKBi0jvs89DRytu6fHqoJylp4A7GHPf4uFokdn5daLOLVqcUF4p5FdMWhE8UVplTENMM3y9BtwiGSoMKQBpM"
"Missionskreuz",51.822688,9.405319,"http://lh3.googleusercontent.com/zA8gvYdctmSVd3CdmocEwQuyrn5NGB6ZWubmYyXwI8GBwUnOVA6zZlohkyMXnuku_vKTddK7hQbbba13If0jL2T58g"
"Begrüßungsschild Albaxen",51.824111,9.409061,"http://lh3.googleusercontent.com/CtiJPdzaUQhNo0tY6YDNy3afk8PbJtxuGkGdE1pBAm5NMpQWhjXZEwz64z0peayFUWau2TLszFO1_b3U8-kdySF4avni"
"Feldkreuz ",51.824894,9.411965,"http://lh3.googleusercontent.com/2Wh3UNunDrt9azGzhzGij1h85gfS8k4sh5c9p7acRfnxlH9HRfgOmnZYNQVjGBSOMMm0AEw4piKv-rZ-I9Lr7z0HBwc"
"Feldkreuz",51.814195,9.401558,"http://lh3.googleusercontent.com/B2QhIWuqWimUYYc-IpIKXFdOQ3gpOxgCFFuyOphSwPbenF8RHw3v4sis3MMY5hZxU1Df8uIdYI7qWavPTtBqgIobUWA2"
"Amboßhahn auf der Tonenburg ",51.814259,9.403682,"http://lh3.googleusercontent.com/stz0mx3fVXZE5DqkbF332EFuGNrY8jmc-8g6dZob6tBJTbuPyLxZRcP49x1EGFOpzj4zVCjnqU0JGUpQwdH64JGYSCQ"
"Tonenburg",51.813966,9.403691,"http://lh3.googleusercontent.com/0CrFlGUrzx8qJ09_l_F3Ov899PB7tn2FU5_9ysv9e3xiDFIJHymbTxhKE8Y97wOA_tdZyBDZbaaa5uQKwbUQJNXp0oA"
"Alte Brennerei Tonenburg von 1660",51.814584,9.403093,"http://lh3.googleusercontent.com/4eB4UqG4DMBfRCTK5AuFwVRsvEb8kgQBz_FEbdr2HwWQjYvHVOsv6R-ApiFr8nCusC1cQikjXiCJa0lDV3--guYTMw"
